subj,act,startFrame,endFrame
S09,Trial-FigureofEight-2,1075,8610
S09,Trial-Fivemin-1,1125,32113
S09,Trial-Fivemin-2,1050,34226
S09,Trial-HighKneeJog-1,1407,4221
S09,Trial-HighKneeJog-2,1076,4168
S09,Trial-Jog-1,1070,1660
S09,Trial-Jog-2,1030,1610
S09,Trial-JumpingJacks-1,1130,4180
S09,Trial-JumpingJacks-2,1100,4269
S09,Trial-SpeedSkater-1,1050,4357
S09,Trial-SpeedSkater-2,1066,4212
S09,Trial-Static-1,-1,-1
S09,Trial-Walk-1,1098,2135
S09,Trial-Walk-2,1122,2106
S09,Trial-Zigzag-1,1120,8446
S09,Trial-Zigzag-2,1205,8687
S10,Trial-FigureofEight-1,1093,7738
S10,Trial-FigureofEight-2,1070,7261
S10,Trial-Fivemin-1,1289,32114
S10,Trial-Fivemin-2,1174,31349
S10,Trial-HighKneeJog-1,1044,4082
S10,Trial-HighKneeJog-2,1040,4190
S10,Trial-Jog-1,1074,1678
S10,Trial-Jog-2,1058,1614
S10,Trial-JumpingJacks-1,1118,4089
S10,Trial-JumpingJacks-2,1166,4015
S10,Trial-SpeedSkater-1,1050,4227
S10,Trial-SpeedSkater-2,1043,4172
S10,Trial-Static-1,-1,-1
S10,Trial-Walk-1,1130,2154
S10,Trial-Walk-2,1120,1919
S10,Trial-Zigzag-1,1090,7313
S10,Trial-Zigzag-2,1091,8243
