subj,act,startFrame,endFrame
S09,Trial-FigureofEight-1,-1,-1
S09,Trial-FigureofEight-2,-1,-1
S09,Trial-Fivemin-1,-1,-1
S09,Trial-Fivemin-2,-1,-1
S09,Trial-HighKneeJog-1,-1,-1
S09,Trial-HighKneeJog-2,-1,-1
S09,Trial-Jog-1,-1,-1
S09,Trial-Jog-2,-1,-1
S09,Trial-JumpingJacks-1,-1,-1
S09,Trial-JumpingJacks-2,-1,-1
S09,Trial-SpeedSkater-1,-1,-1
S09,Trial-SpeedSkater-2,-1,-1
S09,Trial-Static-1,-1,-1
S09,Trial-TUG-1,-1,-1
S09,Trial-TUG-2,-1,-1
S09,Trial-Walk-1,-1,-1
S09,Trial-Walk-2,-1,-1
S09,Trial-Zigzag-1,-1,-1
S09,Trial-Zigzag-2,-1,-1
S10,Trial-FigureofEight-1,-1,-1
S10,Trial-FigureofEight-2,-1,-1
S10,Trial-Fivemin-1,-1,-1
S10,Trial-Fivemin-2,-1,-1
S10,Trial-HighKneeJog-1,-1,-1
S10,Trial-HighKneeJog-2,-1,-1
S10,Trial-Jog-1,-1,-1
S10,Trial-Jog-2,-1,-1
S10,Trial-JumpingJacks-1,-1,-1
S10,Trial-JumpingJacks-2,-1,-1
S10,Trial-SpeedSkater-1,-1,-1
S10,Trial-SpeedSkater-2,-1,-1
S10,Trial-Static-1,-1,-1
S10,Trial-TUG-1,-1,-1
S10,Trial-TUG-2,-1,-1
S10,Trial-Walk-1,-1,-1
S10,Trial-Walk-2,-1,-1
S10,Trial-Zigzag-1,-1,-1
S10,Trial-Zigzag-2,-1,-1
