// fs=100 nSamples=955
// frame=world
// origFName=data/neura-sparse01/rawimu/S02-Trial-Walk-1
// idx=1120,2074
ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3,gyr_1,gyr_2,gyr_3,mag_1,mag_2,mag_3
-0.3155,-0.637369,0.486531,-0.507453,9.491878,-0.73995,-2.877851,-0.291546,-0.256744,0.147188,0.89917,-0.36084,-0.385254
-0.315536,-0.637104,0.488304,-0.506058,9.260642,-1.136425,-2.535994,-0.331701,-0.25389,0.14903,0.892578,-0.358887,-0.387451
-0.315331,-0.637003,0.489885,-0.504783,9.246426,-1.378195,-2.358364,-0.258794,-0.267377,0.140671,0.89502,-0.365234,-0.389404
-0.31491,-0.637077,0.491305,-0.503571,9.462741,-1.353363,-2.11689,-0.198575,-0.287305,0.128684,0.888428,-0.363281,-0.391846
-0.314285,-0.637319,0.492553,-0.502434,9.313243,-1.206647,-2.135035,-0.136629,-0.304759,0.11552,0.893066,-0.367432,-0.397949
-0.313583,-0.637599,0.493885,-0.501208,9.133041,-0.943967,-2.265033,-0.142091,-0.331847,0.124563,0.885986,-0.358887,-0.400391
-0.312982,-0.637888,0.495416,-0.499704,9.11314,-0.655128,-2.146977,-0.201258,-0.371676,0.121593,0.888428,-0.363281,-0.398193
-0.312635,-0.638042,0.497281,-0.497869,9.197955,-0.842157,-2.088382,-0.309022,-0.395302,0.131376,0.88623,-0.361084,-0.41333
-0.31225,-0.638248,0.499217,-0.495905,9.185598,-1.204871,-2.225912,-0.320113,-0.425803,0.131092,0.88623,-0.363281,-0.415283
-0.311673,-0.638593,0.501082,-0.493938,9.218661,-1.303036,-2.279116,-0.280782,-0.454046,0.126841,0.879639,-0.361084,-0.421875
-0.310834,-0.639095,0.50275,-0.49212,9.25118,-1.358436,-2.816273,-0.202677,-0.465468,0.121409,0.884277,-0.367676,-0.428223
-0.309848,-0.639686,0.504285,-0.490401,9.457044,-1.210041,-3.263972,-0.155787,-0.467102,0.115787,0.881836,-0.363281,-0.434814
-0.308972,-0.640205,0.505878,-0.488632,9.392069,-0.755602,-3.50867,-0.184403,-0.459762,0.116705,0.879883,-0.367676,-0.43042
-0.308507,-0.640489,0.507751,-0.486607,9.222172,-0.292243,-3.3378,-0.305404,-0.444468,0.120183,0.875244,-0.361084,-0.445557
-0.308274,-0.640619,0.509787,-0.484449,8.983349,-0.173121,-3.222462,-0.373545,-0.434087,0.126053,0.873047,-0.363281,-0.449951
-0.307991,-0.640853,0.511791,-0.482202,9.178059,-1.035353,-3.344731,-0.367074,-0.457543,0.110767,0.875488,-0.365479,-0.456299
-0.307191,-0.64135,0.513421,-0.480315,9.733202,-1.461213,-3.234737,-0.211314,-0.46764,0.10798,0.871094,-0.369873,-0.460449
-0.305967,-0.642072,0.514732,-0.478726,9.623379,-1.075248,-3.046656,-0.082436,-0.474035,0.102725,0.866455,-0.361328,-0.465088
-0.305117,-0.642631,0.516292,-0.476834,9.419805,-0.522429,-3.091694,-0.193771,-0.474955,0.097294,0.862061,-0.363525,-0.473633
-0.304923,-0.642871,0.518476,-0.474259,9.50562,-0.419215,-3.219785,-0.429156,-0.501973,0.106148,0.862061,-0.363525,-0.477783
-0.305266,-0.642803,0.521181,-0.471156,9.362188,-0.750544,-2.944614,-0.620666,-0.517389,0.121948,0.864258,-0.361328,-0.48877
-0.305687,-0.642737,0.523983,-0.467853,9.165981,-1.206914,-2.807993,-0.661069,-0.540225,0.114585,0.857666,-0.361328,-0.499512
-0.305751,-0.642972,0.526538,-0.464608,9.161707,-1.340632,-2.901117,-0.566978,-0.584357,0.088358,0.862061,-0.357178,-0.503906
-0.305423,-0.643493,0.528874,-0.461439,9.414328,-1.404264,-2.985063,-0.471265,-0.62806,0.071138,0.853027,-0.352783,-0.512695
-0.304885,-0.644207,0.531041,-0.458299,9.720714,-1.481168,-2.904999,-0.413309,-0.654998,0.050007,0.855469,-0.35498,-0.516846
-0.304313,-0.644968,0.533206,-0.455084,9.819184,-1.044785,-3.127914,-0.414399,-0.671241,0.043358,0.848877,-0.35498,-0.52124
-0.303892,-0.645664,0.535533,-0.451632,9.775225,-0.910511,-3.005231,-0.477169,-0.691024,0.043026,0.846436,-0.35083,-0.532227
-0.303688,-0.64628,0.538076,-0.44785,9.776942,-0.940501,-3.104699,-0.565772,-0.715069,0.039872,0.842041,-0.353027,-0.540771
-0.303754,-0.646855,0.540867,-0.443592,10.035712,-1.088729,-3.058378,-0.675614,-0.760106,0.022993,0.842041,-0.35083,-0.547363
-0.303727,-0.64754,0.543624,-0.439221,10.018345,-1.492955,-2.994727,-0.666962,-0.791372,0.008457,0.835205,-0.340088,-0.562744
-0.303384,-0.648497,0.546174,-0.43486,9.828622,-1.673406,-2.878195,-0.589401,-0.836968,-0.019913,0.832764,-0.335693,-0.577881
-0.302752,-0.649697,0.548586,-0.430452,9.831558,-1.571068,-2.815415,-0.531237,-0.886145,-0.041935,0.823975,-0.337891,-0.582275
-0.301928,-0.651124,0.550927,-0.425861,10.16095,-1.167889,-2.913577,-0.505534,-0.947591,-0.070976,0.826172,-0.331543,-0.593262
-0.301128,-0.652676,0.553287,-0.420963,10.272497,-0.911829,-3.074205,-0.537302,-0.995391,-0.102233,0.821777,-0.329346,-0.606201
-0.300368,-0.654284,0.555766,-0.41571,10.679676,-0.753612,-3.096837,-0.587766,-1.050738,-0.118437,0.808105,-0.320801,-0.617432
-0.299495,-0.656027,0.55829,-0.410174,10.692546,-0.771797,-2.973433,-0.600825,-1.112562,-0.134561,0.808105,-0.316406,-0.623779
-0.298495,-0.657953,0.560805,-0.404346,10.511155,-0.621302,-2.470034,-0.604227,-1.181344,-0.163683,0.805664,-0.314453,-0.638916
-0.297356,-0.66005,0.563365,-0.398163,10.427847,-0.655168,-2.336011,-0.619975,-1.258526,-0.186459,0.796875,-0.310059,-0.6521
-0.295871,-0.662373,0.565912,-0.391748,10.602122,-0.659425,-2.404814,-0.584972,-1.347087,-0.20058,0.794434,-0.305908,-0.673828
-0.29423,-0.664875,0.568508,-0.384926,10.752832,-0.598477,-2.448364,-0.604831,-1.433822,-0.225549,0.783203,-0.295166,-0.674316
-0.292524,-0.667483,0.571203,-0.377654,10.675777,-0.618396,-2.376333,-0.647454,-1.517151,-0.246664,0.778809,-0.295166,-0.697998
-0.29076,-0.670214,0.574009,-0.369845,10.73367,-0.612188,-2.081492,-0.703332,-1.609174,-0.272102,0.769775,-0.288818,-0.711182
-0.288911,-0.673032,0.576988,-0.361446,10.77317,-0.733383,-1.885072,-0.766304,-1.716736,-0.287872,0.764893,-0.278076,-0.724365
-0.287175,-0.675954,0.58016,-0.35218,11.14208,-0.977439,-1.355707,-0.890544,-1.836792,-0.331423,0.753662,-0.265137,-0.748535
-0.285377,-0.679036,0.583374,-0.342264,11.746158,-0.957916,-1.433587,-0.950268,-1.948243,-0.378202,0.742432,-0.258789,-0.763916
-0.283314,-0.682315,0.58653,-0.331908,12.096098,-0.603496,-1.077729,-0.951493,-2.046476,-0.414969,0.731201,-0.252441,-0.781494
-0.281077,-0.685575,0.589831,-0.321065,12.740489,0.56715,-0.778969,-0.994076,-2.143122,-0.410473,0.721924,-0.239502,-0.809814
-0.279076,-0.688537,0.593535,-0.309434,12.992232,0.804005,-0.588813,-1.163604,-2.223982,-0.378088,0.706055,-0.22876,-0.827637
-0.277319,-0.691218,0.597572,-0.297017,13.37195,0.789743,-0.465595,-1.325117,-2.307962,-0.359604,0.692383,-0.216064,-0.845215
-0.275859,-0.693608,0.60186,-0.283857,13.639058,0.781072,0.004088,-1.488016,-2.36829,-0.347121,0.669922,-0.200928,-0.867432
-0.273488,-0.696013,0.606169,-0.270794,13.528148,0.368693,0.009165,-1.347837,-2.470456,-0.291278,0.656494,-0.192383,-0.889404
-0.270287,-0.698445,0.61049,-0.257724,13.332317,0.101504,-0.260721,-1.234607,-2.570173,-0.246101,0.635986,-0.17749,-0.907227
-0.266567,-0.700708,0.61502,-0.244337,13.342597,0.024636,-0.133219,-1.218517,-2.684934,-0.189385,0.613525,-0.164795,-0.929443
-0.262462,-0.702818,0.619623,-0.23071,13.412682,-0.613514,-1.328179,-1.208088,-2.758009,-0.151527,0.595947,-0.1604,-0.95752
-0.257745,-0.70479,0.624072,-0.217652,12.935699,-1.295833,-3.203282,-1.049229,-2.744307,-0.101351,0.575195,-0.141113,-0.975586
-0.252781,-0.706604,0.628473,-0.204532,11.98074,-1.859154,-4.687501,-1.030499,-2.769358,-0.077526,0.546387,-0.13501,-0.991211
-0.247776,-0.70831,0.632779,-0.191035,11.333935,-2.684191,-5.736765,-1.071451,-2.824155,-0.098677,0.530762,-0.126465,-1.010986
-0.242703,-0.710022,0.636648,-0.177888,11.45017,-3.326374,-6.255158,-1.002858,-2.756368,-0.137503,0.506104,-0.115723,-1.026611
-0.238002,-0.711654,0.639812,-0.165964,11.497594,-3.397144,-6.228041,-0.876739,-2.503599,-0.185959,0.481445,-0.103027,-1.044434
-0.23368,-0.713186,0.642257,-0.155775,11.056366,-2.536045,-5.536998,-0.69138,-2.165204,-0.200613,0.468018,-0.10083,-1.05542
-0.229811,-0.714593,0.64386,-0.148285,10.820472,-1.047109,-5.449078,-0.387373,-1.684488,-0.198291,0.456787,-0.09668,-1.070557
-0.225604,-0.716136,0.644683,-0.143651,9.007951,0.227691,-7.599701,0.056483,-1.282293,-0.180353,0.446045,-0.098877,-1.072754
-0.219786,-0.717832,0.645312,-0.141364,6.471433,1.704075,-11.657332,0.604124,-1.155561,-0.081778,0.441895,-0.109619,-1.081055
-0.215899,-0.71826,0.646724,-0.138702,6.54281,3.30791,-9.888126,0.198632,-0.952532,0.129292,0.428711,-0.112061,-1.0896
-0.215208,-0.716971,0.649171,-0.134961,7.558018,4.601487,-6.476133,-0.501039,-0.697545,0.35902,0.430664,-0.103271,-1.092041
-0.21972,-0.713633,0.652537,-0.129024,7.817676,5.297368,-4.117122,-1.647082,-0.315009,0.527657,0.427979,-0.088135,-1.094727
-0.229259,-0.708383,0.656349,-0.121823,7.778212,4.593833,-3.926,-2.623296,0.184384,0.649473,0.437744,-0.053467,-1.0979
-0.241941,-0.701699,0.660285,-0.114483,7.466559,4.003991,-4.908786,-3.157235,0.612656,0.778408,0.443604,-0.029785,-1.096436
-0.256212,-0.693966,0.664142,-0.108083,6.967564,3.530341,-5.677924,-3.303309,0.976216,0.908565,0.457764,0.000732,-1.099609
-0.270766,-0.685527,0.667879,-0.103324,6.679472,2.787745,-5.62179,-3.160007,1.268907,1.070069,0.480957,0.031006,-1.093994
-0.285359,-0.676587,0.671244,-0.101154,6.470488,1.434366,-6.869687,-2.837034,1.653894,1.218777,0.504883,0.046387,-1.087646
-0.298691,-0.667856,0.674005,-0.10232,5.542246,-0.1203,-7.302273,-2.19644,1.972095,1.331424,0.526123,0.068115,-1.071045
-0.310206,-0.659618,0.676197,-0.106927,5.225477,-1.016146,-5.707756,-1.44627,2.204861,1.424816,0.556885,0.068359,-1.062012
-0.319652,-0.652078,0.677703,-0.115476,5.708819,-1.012166,-5.374265,-0.584683,2.478684,1.535661,0.587891,0.064209,-1.044434
-0.326759,-0.645398,0.678343,-0.128606,6.164462,-0.978167,-6.154634,0.418753,2.788855,1.645898,0.621826,0.042725,-1.032715
-0.331582,-0.639614,0.677928,-0.146154,6.548196,-0.536203,-5.989254,1.39635,3.100691,1.742854,0.660156,0.021484,-1.012207
-0.334286,-0.634784,0.676108,-0.167869,6.919845,0.869638,-6.02843,2.339313,3.40591,1.765053,0.697021,-0.021484,-0.984863
-0.335827,-0.630752,0.672512,-0.192616,7.285656,2.746829,-6.059856,3.007467,3.731878,1.680447,0.731445,-0.060303,-0.959473
-0.337633,-0.626903,0.667245,-0.218589,7.526595,4.766896,-6.509661,3.218669,4.020751,1.510648,0.774902,-0.101074,-0.916992
-0.341719,-0.622098,0.661127,-0.243173,7.576215,6.764867,-5.56077,2.717229,4.256625,1.344649,0.813232,-0.126709,-0.881348
-0.349864,-0.615127,0.655191,-0.26446,7.748908,7.896076,-5.862594,1.622365,4.469072,1.225314,0.851563,-0.150146,-0.84375
-0.362705,-0.605242,0.650291,-0.281511,8.075573,7.636559,-6.719473,0.227459,4.651776,1.195424,0.882324,-0.156494,-0.795898
-0.379645,-0.592295,0.646659,-0.294769,8.267779,6.147145,-7.694583,-1.05203,4.799274,1.236412,0.922119,-0.158203,-0.746094
-0.398985,-0.577114,0.643544,-0.305943,8.446904,3.729749,-7.915613,-1.80976,4.962505,1.291751,0.959229,-0.153564,-0.700684
-0.418921,-0.560791,0.639947,-0.316995,8.710099,1.102645,-7.487814,-1.952027,5.126287,1.332555,0.994629,-0.155518,-0.650879
-0.437288,-0.54496,0.634742,-0.33,8.878991,-0.959638,-7.72398,-1.386672,5.255331,1.356761,1.025879,-0.168213,-0.596436
-0.452988,-0.53088,0.627092,-0.346011,8.653885,-2.178261,-7.235299,-0.395765,5.335721,1.302602,1.047852,-0.176514,-0.533691
-0.465102,-0.519693,0.616362,-0.365645,8.635965,-1.101443,-7.662314,0.910774,5.356386,1.193466,1.068115,-0.195801,-0.464111
-0.474996,-0.510442,0.603212,-0.387251,9.315232,1.695584,-7.791711,1.74587,5.36452,1.045304,1.09082,-0.219238,-0.392334
-0.484749,-0.501266,0.588952,-0.408519,10.032288,3.870006,-7.834328,1.808603,5.419333,0.905301,1.104248,-0.22998,-0.327393
-0.495464,-0.490795,0.575017,-0.427775,10.242999,5.051443,-7.241688,1.326969,5.398705,0.81406,1.119873,-0.238281,-0.260254
