// fs=100 nSamples=955
// frame=world
// origFName=data/neura-sparse01/rawimu/S02-Trial-Walk-1
// idx=1120,2074
ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3,gyr_1,gyr_2,gyr_3,mag_1,mag_2,mag_3
-0.353068,-0.521119,0.306362,-0.714087,9.253726,0.466171,2.89954,0.707819,0.942214,-0.340419,0.950684,-0.389404,0.384766
-0.354466,-0.519006,0.302288,-0.716665,9.077256,1.260361,3.211424,0.449048,0.957785,-0.311466,0.950439,-0.382568,0.397461
-0.356506,-0.516186,0.299206,-0.718979,8.812726,1.668421,3.219732,0.173545,1.002624,-0.277015,0.945557,-0.380371,0.40625
-0.359264,-0.512624,0.29724,-0.720968,8.467256,1.639886,2.991224,-0.132666,1.036791,-0.243286,0.943359,-0.380615,0.414795
-0.362628,-0.508646,0.29669,-0.722326,8.104875,1.418167,2.971008,-0.467201,0.968916,-0.206565,0.945801,-0.382813,0.410645
-0.366596,-0.504321,0.297651,-0.72296,8.041952,1.020036,2.991402,-0.814569,0.869195,-0.171463,0.936523,-0.380859,0.425781
-0.370918,-0.499795,0.299328,-0.723206,7.931669,0.485132,2.97463,-0.992144,0.83,-0.16763,0.938965,-0.387451,0.423828
-0.375386,-0.495253,0.301036,-0.723317,8.111178,0.110274,3.088745,-1.019814,0.82293,-0.1939,0.93457,-0.389893,0.432617
-0.379924,-0.490656,0.302695,-0.723388,8.263682,-0.183346,3.412855,-1.026824,0.837135,-0.209239,0.929932,-0.389893,0.432617
-0.384626,-0.485907,0.304491,-0.723355,7.896636,-0.687019,3.584493,-1.080041,0.846008,-0.21767,0.925537,-0.396973,0.437256
-0.389326,-0.481158,0.306136,-0.723321,7.445427,-1.483656,3.520449,-1.058725,0.859922,-0.232648,0.927979,-0.39917,0.439453
-0.393858,-0.476574,0.307533,-0.72331,7.122894,-2.051034,3.910475,-0.991687,0.844861,-0.24011,0.92334,-0.39917,0.448242
-0.39809,-0.472288,0.309047,-0.723159,7.100187,-2.34102,4.428809,-0.965904,0.763169,-0.21533,0.923584,-0.406006,0.452881
-0.401894,-0.468216,0.310784,-0.722958,7.140731,-2.407088,4.720346,-0.942906,0.680575,-0.149313,0.914307,-0.404053,0.448486
-0.405176,-0.464377,0.312071,-0.723047,6.913548,-2.85915,4.266879,-0.79298,0.680502,-0.107394,0.916992,-0.410645,0.453125
-0.407813,-0.461089,0.312628,-0.723428,6.566971,-2.734911,4.299675,-0.56385,0.644218,-0.092341,0.909912,-0.408691,0.459473
-0.410116,-0.458318,0.313044,-0.723708,6.459284,-2.656858,4.475359,-0.477699,0.553149,-0.098002,0.910156,-0.410889,0.466064
-0.411676,-0.456347,0.312767,-0.724188,7.116269,-2.440584,4.911956,-0.229996,0.463533,-0.087323,0.914551,-0.410889,0.468262
-0.412641,-0.454826,0.312197,-0.724841,7.338739,-2.031287,5.126574,-0.086508,0.403581,-0.042144,0.914551,-0.410889,0.466064
-0.413163,-0.453475,0.311215,-0.725811,7.062559,-1.907892,5.355249,-6e-06,0.395359,-0.020832,0.910156,-0.410889,0.470459
-0.413608,-0.452401,0.310024,-0.726737,7.09964,-1.702614,5.471216,0.104749,0.382482,-0.028434,0.910156,-0.410889,0.474854
-0.41379,-0.451656,0.308204,-0.727871,7.002565,-1.565836,5.497019,0.215116,0.371624,-0.073077,0.909912,-0.406494,0.481201
-0.413953,-0.451495,0.306034,-0.728792,7.09105,-1.483427,5.626765,0.347956,0.312706,-0.132748,0.907471,-0.404297,0.485596
-0.413899,-0.451671,0.303157,-0.729915,7.007367,-1.593684,5.512214,0.470193,0.305668,-0.184521,0.909668,-0.397461,0.489746
-0.413598,-0.452378,0.29993,-0.73098,6.829293,-1.487567,5.597864,0.624745,0.25821,-0.201592,0.905029,-0.397705,0.496338
-0.412962,-0.453329,0.29644,-0.732174,6.614308,-1.277496,5.795842,0.680474,0.213348,-0.195698,0.90918,-0.388428,0.498047
-0.412087,-0.454989,0.292771,-0.733113,6.417257,-1.311357,5.372805,0.812834,0.109661,-0.224678,0.913574,-0.384033,0.5
-0.410868,-0.457447,0.288796,-0.733843,6.576263,-1.104778,5.190333,0.914095,-0.03684,-0.272474,0.910889,-0.372803,0.512695
-0.409841,-0.46025,0.285144,-0.734094,7.179876,-0.703044,5.685747,0.878307,-0.131192,-0.32388,0.917725,-0.36792,0.508301
-0.409127,-0.463075,0.281525,-0.734112,7.478615,-0.233945,6.063719,0.800858,-0.164651,-0.38907,0.919678,-0.361328,0.512451
-0.408996,-0.465924,0.278494,-0.733538,7.289412,0.31681,6.064859,0.661509,-0.214502,-0.46816,0.914795,-0.352295,0.507813
-0.409441,-0.468767,0.275471,-0.732619,7.117955,0.758984,5.836397,0.556142,-0.234811,-0.586378,0.923584,-0.343018,0.511719
-0.410737,-0.47168,0.272798,-0.731023,6.884998,1.086911,5.927717,0.424055,-0.26979,-0.731005,0.935059,-0.338379,0.511475
-0.412736,-0.474665,0.270326,-0.72888,6.888081,0.974042,6.017489,0.306103,-0.313313,-0.862992,0.938721,-0.317871,0.504395
-0.415125,-0.477626,0.268072,-0.726418,7.258948,0.705411,6.362951,0.216609,-0.333661,-0.924842,0.943359,-0.31543,0.50415
-0.417587,-0.480364,0.266208,-0.723882,7.619055,0.557202,6.893692,0.132048,-0.340374,-0.89167,0.949951,-0.308594,0.501709
-0.419736,-0.482881,0.264794,-0.721479,7.97615,0.525361,7.37898,0.084063,-0.34625,-0.781126,0.95874,-0.296875,0.494873
-0.421225,-0.485334,0.26355,-0.719418,8.492933,0.520867,7.75302,0.137647,-0.356883,-0.636305,0.960693,-0.290283,0.501221
-0.421959,-0.487861,0.262458,-0.717676,8.927179,0.724559,8.397012,0.210474,-0.385634,-0.490879,0.967529,-0.2854,0.492188
-0.422394,-0.490317,0.261689,-0.716024,9.529519,1.146203,9.182086,0.193825,-0.413294,-0.404399,0.964844,-0.276367,0.489746
-0.422766,-0.492648,0.261529,-0.714261,9.928356,1.614697,9.730795,0.094626,-0.457199,-0.339138,0.967041,-0.27417,0.487549
-0.422935,-0.495003,0.261708,-0.712466,10.282131,1.750623,9.094645,0.068345,-0.50715,-0.279884,0.981201,-0.282715,0.481201
-0.422438,-0.497736,0.262172,-0.710684,10.77352,2.260789,7.687674,0.124406,-0.614622,-0.176297,0.978271,-0.26709,0.478516
-0.421579,-0.500352,0.263712,-0.708785,11.885382,2.613788,5.979775,-0.00623,-0.723737,-0.020648,0.980957,-0.275879,0.472168
-0.420324,-0.50284,0.265932,-0.706937,13.358608,2.404153,4.76863,-0.073423,-0.774535,0.1137,0.987793,-0.273438,0.458984
-0.420042,-0.504101,0.269429,-0.704879,15.798776,1.741418,4.905137,-0.463867,-0.68196,0.153246,0.990479,-0.282471,0.450684
-0.421416,-0.502746,0.273281,-0.703543,19.79087,1.329331,6.912628,-0.864103,-0.176713,0.156033,0.990723,-0.286865,0.44873
-0.42526,-0.497237,0.277391,-0.703536,21.518254,4.222729,9.777457,-1.424027,0.650403,0.174512,0.986328,-0.293945,0.459717
-0.432775,-0.487008,0.283869,-0.703525,17.815606,6.369104,8.509105,-2.525982,1.320582,0.154139,0.982422,-0.309814,0.466797
-0.441896,-0.475297,0.291074,-0.702921,11.289663,3.750802,1.866504,-2.944945,1.495422,0.032598,0.968994,-0.325928,0.47168
