// fs=100 nSamples=955
// frame=world
// origFName=data/neura-sparse01/rawimu/S02-Trial-Walk-1
// idx=1120,2074
ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3,gyr_1,gyr_2,gyr_3,mag_1,mag_2,mag_3
-0.57715,-0.256654,0.12715,-0.764761,-4.84154,4.152902,10.765669,0.244194,1.03553,0.842366,0.634521,-0.256592,0.913086
-0.575074,-0.253547,0.122928,-0.768044,-3.947077,4.341727,10.823654,0.476462,1.084862,0.539941,0.596924,-0.244385,0.942871
-0.573893,-0.250955,0.117714,-0.770592,-3.425915,4.891543,10.691955,0.626344,1.108609,0.252951,0.550537,-0.227783,0.96167
-0.573603,-0.248652,0.112082,-0.772392,-2.861232,5.068088,10.700384,0.659562,1.090957,0.004235,0.510742,-0.213135,0.967773
-0.57424,-0.246619,0.106123,-0.773411,-1.9255,4.638917,10.934048,0.679428,1.073253,-0.253016,0.466553,-0.203369,0.976074
-0.575831,-0.244925,0.099542,-0.773642,-0.98349,4.407025,11.175154,0.748814,1.068593,-0.526537,0.428955,-0.190918,0.971436
-0.578354,-0.243418,0.092311,-0.773132,-0.144792,4.45129,11.479842,0.812397,1.101734,-0.794046,0.400391,-0.184814,0.962646
-0.581714,-0.241759,0.084484,-0.772026,0.62561,4.613509,11.615073,0.83322,1.175547,-1.016089,0.371582,-0.176758,0.955811
-0.585733,-0.239776,0.076399,-0.770446,1.179545,4.497778,11.645267,0.797469,1.248801,-1.182696,0.355957,-0.172607,0.949219
-0.590209,-0.23741,0.068033,-0.768545,1.984562,4.24597,12.026802,0.760036,1.323636,-1.308602,0.335938,-0.164063,0.94458
-0.595172,-0.234427,0.059355,-0.76635,3.10934,4.273124,12.146348,0.71719,1.456652,-1.414245,0.322754,-0.162109,0.938232
-0.600364,-0.230589,0.050292,-0.764109,3.458447,4.135454,12.102738,0.65481,1.625012,-1.472376,0.302734,-0.153809,0.935791
-0.605534,-0.226134,0.041082,-0.761908,3.173338,3.327492,11.920128,0.612913,1.747682,-1.455046,0.295898,-0.14502,0.935303
-0.610248,-0.221499,0.031654,-0.759956,3.210039,2.728037,11.652415,0.641692,1.801254,-1.367762,0.280273,-0.134033,0.932617
-0.614357,-0.216962,0.022137,-0.75829,3.690397,2.528747,11.420832,0.701184,1.813732,-1.241606,0.26709,-0.130127,0.941162
-0.61788,-0.212654,0.012227,-0.756871,4.651157,2.216277,11.529205,0.813921,1.830392,-1.135573,0.251465,-0.119385,0.949463
-0.620928,-0.208546,0.001624,-0.755615,5.562058,2.148633,11.501978,0.965776,1.896758,-1.078171,0.23584,-0.11084,0.953369
-0.623637,-0.204451,-0.009633,-0.754443,5.649823,2.477783,10.988219,1.079653,1.975057,-1.036779,0.219971,-0.095459,0.952637
-0.625941,-0.200312,-0.020947,-0.753415,5.005733,2.745301,10.402607,1.099554,1.999793,-0.967274,0.204346,-0.080322,0.962891
-0.627904,-0.196268,-0.031985,-0.752458,4.753517,2.68889,10.011392,1.083987,1.952831,-0.883675,0.182129,-0.074219,0.975586
