MIDPEL_1,MIDPEL_2,MIDPEL_3,LFEP_1,LFEP_2,LFEP_3,RFEP_1,RFEP_2,RFEP_3,LFEO_1,LFEO_2,LFEO_3,RFEO_1,RFEO_2,RFEO_3,LTIO_1,LTIO_2,LTIO_3,RTIO_1,RTIO_2,RTIO_3,qRPV_1,qRPV_2,qRPV_3,qRPV_4,qLTH_1,qLTH_2,qLTH_3,qLTH_4,qRTH_1,qRTH_2,qRTH_3,qRTH_4,qLSK_1,qLSK_2,qLSK_3,qLSK_4,qRSK_1,qRSK_2,qRSK_3,qRSK_4
0.001,0,1,0.001,0.2,1,0.001,-0.2,1,0.001,0.2,0.5,0.501,-0.2,1,0.001,0.2,0,0.501,-0.2,0.5,1,0,0,0,0.707106781186547,0,-0.707106781186547,0,0.707106781186547,0,-0.707106781186547,0,1,0,0,0,1,0,0,0
0.002,0,1,0.002,0.2,1,0.002,-0.2,1,0.00727103097578977,0.2,0.500027784539528,0.501972215460472,-0.2,0.99472896902421,0.00727103097578977,0.2,2.77845395284526e-05,0.501972215460472,-0.2,0.49472896902421,1,0,0,0,0.710824191327075,0,-0.703369724273238,0,0.710824191327075,0,-0.703369724273238,0,1,0,0,0,1,0,0,0
0.003,0,1,0.003,0.2,1,0.003,-0.2,1,0.0135414761389055,0.2,0.500111135070191,0.502888864929809,-0.2,0.989458523861094,0.0135414761389055,0.2,0.000111135070191004,0.502888864929809,-0.2,0.489458523861094,1,0,0,0,0.714521851407573,0,-0.699613124420272,0,0.714521851407573,0,-0.699613124420272,0,1,0,0,0,1,0,0,0
0.004,0,1,0.004,0.2,1,0.004,-0.2,1,0.0198107497417794,0.2,0.500250042328563,0.503749957671437,-0.2,0.984189250258221,0.0198107497417794,0.2,0.000250042328563183,0.503749957671437,-0.2,0.484189250258221,1,0,0,0,0.718199658689545,0,-0.695837086003772,0,0.718199658689545,0,-0.695837086003772,0,1,0,0,0,1,0,0,0
0.005,0,1,0.005,0.2,1,0.005,-0.2,1,0.0260782661670486,0.2,0.500444490876748,0.504555509123252,-0.2,0.978921733832951,0.0260782661670486,0.2,0.000444490876748471,0.504555509123252,-0.2,0.478921733832951,1,0,0,0,0.721857510986101,0,-0.692041713939956,0,0.721857510986101,0,-0.692041713939956,0,1,0,0,0,1,0,0,0
0.006,0,1,0.006,0.2,1,0.006,-0.2,1,0.0323434399926398,0.2,0.500694459104093,0.505305540895907,-0.2,0.97365656000736,0.0323434399926398,0.2,0.000694459104093048,0.505305540895907,-0.2,0.47365656000736,1,0,0,0,0.725495306664791,0,-0.688227113682221,0,0.725495306664791,0,-0.688227113682221,0,1,0,0,0,1,0,0,0
0.007,0,1,0.007,0.2,1,0.007,-0.2,1,0.0386056860568318,0.2,0.500999919229589,0.506000080770411,-0.2,0.968394313943168,0.0386056860568318,0.2,0.000999919229588642,0.506000080770411,-0.2,0.468394313943168,1,0,0,0,0.729112944650437,0,-0.684393391218215,0,0.729112944650437,0,-0.684393391218215,0,1,0,0,0,1,0,0,0
0.008,0,1,0.008,0.2,1,0.008,-0.2,1,0.0448644195232895,0.2,0.50136083730496,0.50663916269504,-0.2,0.96313558047671,0.0448644195232895,0.2,0.00136083730495962,0.50663916269504,-0.2,0.46313558047671,1,0,0,0,0.732710324427935,0,-0.680540653066891,0,0.732710324427935,0,-0.680540653066891,0,1,0,0,0,1,0,0,0
0.009,0,1,0.009,0.2,1,0.009,-0.2,1,0.0511190559460615,0.2,0.501777173218436,0.507222826781564,-0.2,0.957880944053939,0.0511190559460615,0.2,0.00177717321843573,0.507222826781564,-0.2,0.457880944053939,1,0,0,0,0.736287346045049,0,-0.676669006275549,0,0.736287346045049,0,-0.676669006275549,0,1,0,0,0,1,0,0,0
0.01,0,1,0.01,0.2,1,0.01,-0.2,1,0.0573690113345342,0.2,0.50224888069921,0.507751119300789,-0.2,0.952630988665466,0.0573690113345342,0.2,0.00224888069921048,0.507751119300789,-0.2,0.452630988665466,1,0,0,0,0.73984391011519,0,-0.672778558416858,0,0.73984391011519,0,-0.672778558416858,0,1,0,0,0,1,0,0,0
