gfr_acc_MP_act_1,gfr_acc_MP_act_2,gfr_acc_MP_act_3,gfr_acc_LA_act_1,gfr_acc_LA_act_2,gfr_acc_LA_act_3,gfr_acc_RA_act_1,gfr_acc_RA_act_2,gfr_acc_RA_act_3,bIsStatMP,bIsStatLA,bIsStatRA,qPelvisEst_1,qPelvisEst_2,qPelvisEst_3,qPelvisEst_4,qLankleEst_1,qLankleEst_2,qLankleEst_3,qLankleEst_4,qRankleEst_1,qRankleEst_2,qRankleEst_3,qRankleEst_4
-8.32667268468867e-16,0,0,-0.00105446281322252,0,0.100018784041378,-0.100018784041379,0,0.00105446281346899,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.00210886703090329,0,0.150019838980042,-0.150019838980142,0,0.00210886703110313,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6.24500451351651e-16,0,0,-0.004217499686201,0,0.199998662729817,-0.199998662729816,0,0.00421749968618435,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-4.16333634234434e-16,0,0,-0.00632566361636833,0,0.199943087845622,-0.199943087845423,0,0.00632566361631504,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-6.2450045135165e-16,0,0,-0.00843312452392886,0,0.199865291654433,-0.199865291654534,0,0.00843312452400213,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6.2450045135165e-16,0,0,-0.0105396481895437,0,0.199765282803033,-0.199765282803232,0,0.010539648189497,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.0126450004980855,0,0.199643072406231,-0.19964307240613,0,0.0126450004980871,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.0147489474645679,0,0.199498674045862,-0.199498674045762,0,0.0147489474646378,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6.24500451351651e-16,0,0,-0.0168512552601929,0,0.199332103770389,-0.199332103770289,0,0.0168512552600864,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.45716771982052e-15,0,0,-0.0189516902383619,0,0.199143380092003,-0.199143380091905,0,0.0189516902383402,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.45716771982052e-15,0,0,-0.0210500189605511,0,0.198932523985128,-0.19893252398523,0,0.0210500189606177,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.45716771982052e-15,0,0,-0.0231460082223866,0,0.19869955888412,-0.198699558884218,0,0.0231460082223567,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.45716771982052e-15,0,0,-0.0252394250795546,0,0.198444510679963,-0.198444510680062,0,0.0252394250795196,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.0273300368735074,0,0.198167407718386,-0.198167407718386,0,0.0273300368735074,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.66533453693774e-15,0,0,-0.0294176112574535,0,0.197868280796354,-0.197868280796154,0,0.029417611257565,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.45716771982052e-15,0,0,-0.0315019162222741,0,0.197547163157774,-0.197547163157774,0,0.0315019162222874,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-3.12250225675825e-15,0,0,-0.0335827201221967,0,0.197204090491299,-0.197204090491399,0,0.0335827201221717,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3.12250225675825e-15,0,0,-0.0356597917004675,0,0.196839100925728,-0.196839100925728,0,0.0356597917005042,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3.12250225675825e-15,0,0,-0.0377329001151261,0,0.196452235024913,-0.196452235024913,0,0.0377329001149396,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-3.12250225675825e-15,0,0,-0.0398018149647411,0,0.196043535784463,-0.196043535784463,0,0.0398018149647794,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-3.12250225675825e-15,0,0,-0.0418663063139918,0,0.195613048626542,-0.195613048626542,0,0.0418663063141533,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2.08166817117217e-16,0,0,-0.0439261447191042,0,0.195160821394676,-0.195160821394779,0,0.0439261447190126,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2.08166817117217e-16,0,0,-0.0459811012533273,0,0.194686904348769,-0.194686904348772,0,0.0459811012533489,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-2.08166817117217e-16,0,0,-0.0480309475326329,0,0.194191350158893,-0.19419135015869,0,0.0480309475326362,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-2.08166817117217e-16,0,0,-0.050075455740965,0,0.193674213899679,-0.193674213899776,0,0.0500754557408684,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3.12250225675825e-15,0,0,-0.0521143986553896,0,0.193135553045254,-0.193135553045354,0,0.0521143986554895,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3.12250225675825e-15,0,0,-0.0541475496715099,0,0.192575427461439,-0.192575427461339,0,0.0541475496715349,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
